"AFID1","AFID2","LCS-SIM(JNAME1 JNAME2)","EXIST-P(JNAME1 JNAME2)","EXACT-MATCH(JNAME1 JNAME2)","LCS(JNAME1 JNAME2)","LEVENSHTEIN(JNAME1 JNAME2)","DIFF-LENGTH(JNAME1 JNAME2)","VARIANTS-AND-CONFUSIONS(JNAME1 JNAME2)","UNKNOWN-CHAR(JNAME1 JNAME2)","LCS-SIM(ENAME1 ENAME2)","EXIST-P(ENAME1 ENAME2)","EXACT-MATCH(ENAME1 ENAME2)","INITIAL-MATCH(ENAME1 ENAME2)","LCS(ENAME1 ENAME2)","LEVENSHTEIN(ENAME1 ENAME2)","DIFF-LENGTH(ENAME1 ENAME2)","LCS-SIM(JAFF1 JAFF2)","EXIST-P(JAFF1 JAFF2)","EXACT-MATCH(JAFF1 JAFF2)","LCS-SIM(EAFF1 EAFF2)","EXIST-P(EAFF1 EAFF2)","EXACT-MATCH(EAFF1 EAFF2)","COAUTHER-MATCH(CO-AUTHOR1 CO-AUTHOR2)","COUNT-COAUTHER(CO-AUTHOR1 CO-AUTHOR2)","CLASS"
"B-80002504583-1-jic","B-80002504583-2-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,-2.1490382972445543d0,0,0,0,-0.9455947581697487d0,2.0072003424301936d0,2.4870863268592887d0,4.7549620481972844d-5,1,0,0.8451382957436235d0,0,1,0,0.4424857191120912d0,-1
"B-80008004673-3-jic","B-80004463218-3-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.5059122774055463d0,0,0,1,-0.4283770935916174d0,-0.3809206681754414d0,0.1349091505549051d0,4.7549620481972844d-5,1,0,-0.19606087232153985d0,0,0,0,-0.6102509436335539d0,1
"B-110003417338-2-nels","B-110001988831-5-nels",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.9149385161885266d0,0,0,1,-0.1697682613025518d0,-0.722080812547675d0,-0.33552628470597157d0,-0.9550981881108861d0,0,0,-1.05037779079069d0,0,0,0,-0.08388261226073132d0,1
"B-80016652522-1-jic","B-10019256096-1-cjp",0.05630294966360537d0,0,0,-0.43174649411591065d0,-0.16260464783760734d0,0.271727927647994d0,-0.2813768470866166d0,-0.045934507283447924d0,1.0636752456671514d0,0,0,1,1.6404935647209076d0,-0.722080812547675d0,-0.33552628470597157d0,-2.102657684830809d0,0,0,3.123195172306289d-5,1,0,0,-0.6102509436335539d0,1
"B-80015629462-1-jic","B-80016713015-1-jic",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.17125486879540242d0,0,0,1,0.34744940327557944d0,-0.03976052380320786d0,0.1349091505549051d0,0.192461308609037d0,0,0,-2.472015109899957d0,0,0,0,0.4424857191120912d0,1
"B-110001982779-5-nels","B-110002197149-2-nels",0.8339125387752425d0,0,1,-0.43174649411591065d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,1.0636752456671514d0,0,0,1,1.6404935647209076d0,-0.722080812547675d0,-0.33552628470597157d0,-1.6612886186924305d0,0,0,-2.627178913607684d0,0,0,0,-0.08388261226073132d0,1
"B-80012853874-2-jic","B-80015495305-2-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.41914941792644383d0,0,0,0,-0.6869859258806831d0,-0.722080812547675d0,-0.8059617199668482d0,0.192461308609037d0,0,0,0.3281794863050686d0,0,0,0,-0.6102509436335539d0,-1
"B-80012853874-2-jic","B-80015404416-2-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.41914941792644383d0,0,0,0,-0.6869859258806831d0,-0.722080812547675d0,-0.8059617199668482d0,0.192461308609037d0,0,0,0.3281794863050686d0,0,0,0,-0.6102509436335539d0,-1
"B-10005146676-5-cjp","B-10002741188-4-cjp",0.8339125387752425d0,0,1,-0.17914855229811344d0,-0.50388175847434d0,-0.3364459233189947d0,-0.2813768470866166d0,-0.045934507283447924d0,0.974433021806567d0,0,0,1,0.34744940327557944d0,-0.722080812547675d0,-0.33552628470597157d0,0.7662408688693447d0,0,1,0.19258363854970903d0,0,0,0,-0.08388261226073132d0,1
"B-80007314175-3-jic","B-80006068975-2-jic",1.4581421043229298d-4,1,0,3.599930826652983d-15,3.9954561131823056d-16,-7.103693884226016d-15,-2.4528514911935254d-15,-1.220140237811119d-16,0.636057264774486d0,0,0,0,0.08884057098651381d0,-0.722080812547675d0,-0.8059617199668482d0,4.7549620481972844d-5,1,0,-0.7396376876641222d0,0,0,0,-0.08388261226073132d0,-1
