YYYY/MM/DD,CAD/USD,EUR/USD,JPY/USD,GBP/USD,CHF/USD,AUD/USD,HKD/USD,NZD/USD,KRW/USD,MXN/USD
2012/01/06,0.589164785553048,0.693208145348128,0.05567415965507131,0.49923477196204535,0.5229415170816446,0.2210160934048595,0.2692307692307652,0.3813420621931264,0.5423228346456689,0.7732354996505937
2012/01/09,0.619262603461248,0.685099378124619,0.048892795847460854,0.4969901030507086,0.5146960046323105,0.2277690123067214,0.28260869565216845,0.3671576650300056,0.538877952755906,0.7795248078266945
2012/01/10,0.5379984951091041,0.6708937934398241,0.04633931935200299,0.4744413835322928,0.50658946149392,0.1949826443673083,0.27759197324413853,0.3246044735406437,0.5172244094488189,0.7400419287211735
2012/01/11,0.5590669676448463,0.7069259846360202,0.05035790531206845,0.54463830221406,0.5223393167342212,0.20312401388450624,0.28595317725752667,0.3235133660665576,0.5457677165354329,0.7505241090146749
2012/01/12,0.563581640331076,0.6575417631996093,0.04495793042823049,0.5451484542393635,0.49718587145338744,0.1982013253392238,0.29933110367892984,0.33360611020185504,0.5039370078740155,0.7323549965059393
2012/01/13,0.5989465763732124,0.7088769662236314,0.05006488341914681,0.5557596163656775,0.5183092067168501,0.20416535184600845,0.3043478260869449,0.3355155482815057,0.4980314960629917,0.7365478686233399
2012/01/16,0.5425131677953339,0.7114376295573711,0.0434091004227884,0.5400469339863275,0.5192125072379851,0.1929946355317134,0.3177257525083481,0.31942171303873423,0.5014763779527557,0.7124388539482878
2012/01/17,0.5139202407825438,0.687172296061456,0.04596257691824686,0.5317824711764104,0.5080718008106542,0.17377721678763033,0.26254180602006366,0.2995090016366615,0.461122047244094,0.6834381551362682
2012/01/18,0.5199398043641835,0.6548591635166439,0.046046297459081356,0.5085195388225694,0.49364215402431966,0.17358788261281158,0.19732441471571935,0.2771412984178945,0.43996062992125956,0.6376659678546468
2012/01/19,0.48607975921745705,0.613827582002195,0.06362761103436712,0.47658402203856814,0.4720787492762014,0.1673082991479964,0.17558528428092804,0.29296235679214444,0.4153543307086611,0.60167714884696
2012/01/20,0.5221971407072984,0.6102914278746494,0.0518648750470924,0.45291296806448283,0.46999420961204413,0.1515935626380564,0.19063545150501776,0.27686852154937297,0.41043307086614145,0.6020265548567432
2012/01/23,0.474793077501881,0.5785270089013532,0.05144627234291931,0.43495561677379835,0.4561667631731327,0.13344903755127813,0.17558528428092804,0.2564102564102566,0.3759842519685036,0.5744234800838568
2012/01/24,0.48758465011286695,0.5899890257285694,0.08669262003432535,0.4297520661157021,0.4617718587145339,0.152130009466709,0.1772575250835997,0.26295690125477367,0.3976377952755907,0.5810621942697409
2012/01/25,0.5048908954100827,0.5992561882697234,0.10167859684373572,0.4401591674318946,0.46587145338737707,0.14875355001577803,0.18729096989965954,0.27795962902345905,0.39173228346456684,0.577218728162124
2012/01/26,0.40406320541760743,0.5367028411169368,0.07338105404160912,0.38220589735741217,0.43478865083960616,0.10022088987062165,0.11371237458192714,0.21194762684124413,0.35482283464566916,0.5038434661076164
2012/01/27,0.4243792325056438,0.5228020973052068,0.039809117166896626,0.3794510764207731,0.4270990156340474,0.10236667718523199,0.08026755852841916,0.2032187670485543,0.35137795275590517,0.4972047519217331
2012/01/30,0.43867569601203965,0.5474332398487987,0.023902214408304995,0.3901642689521474,0.43559930515344536,0.11779741243294439,0.10702341137124038,0.21958537915984727,0.38681102362204717,0.5139762403913342
2012/01/31,0.4537246049661405,0.5723082550908422,0.02540918414332954,0.36404448525660604,0.4453039953676898,0.11530451246449987,0.10535117056855385,0.20049099836333908,0.3725393700787396,0.5373864430468198
2012/02/01,0.3927765237020314,0.5191440068284354,0.01904642303989277,0.32323232323232276,0.42323103647944416,0.0788892395077312,0.08026755852841916,0.15848336061102028,0.36515748031496004,0.4741439552760305
2012/02/02,0.40331075996990245,0.5316424826240701,0.018627820335719088,0.33914906642179327,0.4279559930515346,0.0822025875670559,0.09531772575250888,0.1587561374795418,0.3297244094488192,0.45422781271837837
2012/02/03,0.3732129420617008,0.553408120960858,0.035204487420988494,0.35343332313029313,0.4419224088013898,0.07014831177027478,0.08026755852841916,0.1549372613202399,0.33218503937007904,0.4248777078965756
2012/02/06,0.37998495109104546,0.5448116083404464,0.035623090125162175,0.332210998877665,0.43775332947307477,0.07526033449037561,0.07859531772574746,0.16121112929623546,0.3499015748031495,0.39203354297693915
2012/02/07,0.3754702784048157,0.5046335812705763,0.04855791368412227,0.30792776247321707,0.4239722061378113,0.06036604607131615,0.07190635451504587,0.15275504637206777,0.33415354330708624,0.39343116701607245
2012/02/08,0.39202407825432645,0.5012193634922566,0.04822303152078367,0.33639424548515423,0.4234163288940359,0.06330072578100371,0.07023411371237419,0.16366612111292975,0.3336614173228347,0.4147449336128579
2012/02/09,0.3702031602708802,0.4864650652359465,0.07132990079115885,0.3290480563207838,0.4182281412854661,0.058283370148312065,0.11204013377925545,0.15248226950354624,0.32381889763779537,0.4259259259259257
2012/02/10,0.42663656884875867,0.5245701743689789,0.07806940432835176,0.3661871237628814,0.43511291256514184,0.09356263805616932,0.09698996655518057,0.18548827059465373,0.36515748031496004,0.4524807826694619
2012/02/13,0.41158765989465784,0.5160346299231799,0.07660429486374476,0.3532292623201715,0.42874348581354943,0.07611233827705909,0.07357859531771756,0.15957446808510636,0.34793307086614117,0.42522711390635876
